Date	Price	Open	High	Low	Change %
Mar 03, 2015	1203.8	1206.7	1215.09	1194.9	-0.27%
Mar 02, 2015	1207.1	1213.4	1223.6	1204.2	-0.50%
Feb 27, 2015	1213.15	1208.85	1219.9	1204.05	0.34%
Feb 26, 2015	1209.05	1204.41	1220.75	1203.2	0.35%
Feb 25, 2015	1204.8	1199.15	1212.2	1199.1	0.41%
Feb 24, 2015	1199.89	1201.33	1204.6	1190.91	-0.17%
Feb 23, 2015	1201.92	1201.39	1210.7	1191.01	-0.04%
Feb 20, 2015	1202.39	1206.92	1215.39	1197.95	-0.42%
Feb 19, 2015	1207.45	1212.3	1223.5	1205	-0.46%
Feb 18, 2015	1212.99	1209.02	1212.99	1197.56	0.30%
Feb 17, 2015	1209.4	1230.65	1234.15	1203.3	-1.79%
Feb 16, 2015	1231.47	1228.2	1236.88	1227.63	0.14%
Feb 13, 2015	1229.7	1221.88	1235.7	1220.51	0.59%
Feb 12, 2015	1222.5	1218.43	1232.9	1216.45	0.27%
Feb 11, 2015	1219.16	1233.25	1239.3	1217.76	-1.20%
Feb 10, 2015	1234	1239.35	1246	1230.5	-0.46%
Feb 09, 2015	1239.68	1234.43	1244.35	1233.79	0.48%
Feb 06, 2015	1233.72	1264.32	1269.3	1228.25	-2.45%
Feb 05, 2015	1264.7	1269.6	1274	1256.22	-0.42%
Feb 04, 2015	1270.05	1259.85	1272.2	1256.45	0.78%
Feb 03, 2015	1260.2	1274.91	1285.59	1255.21	-1.19%
Feb 02, 2015	1275.44	1281.06	1283.85	1266.18	-0.63%
Jan 30, 2015	1283.55	1256.86	1285.35	1256.5	2.09%
Jan 29, 2015	1257.25	1284.6	1286.25	1251.86	-2.17%
Jan 28, 2015	1285.1	1291.6	1294.55	1280.75	-0.56%
Jan 27, 2015	1292.35	1280.81	1297.77	1272.31	0.87%
Jan 26, 2015	1281.24	1293.29	1299.14	1275.75	-1.03%
Jan 23, 2015	1294.55	1300.98	1302.9	1284.26	-0.55%
Jan 22, 2015	1301.73	1292.7	1306.7	1279.05	0.64%
Jan 21, 2015	1293.44	1293.26	1305.38	1285.2	-0.04%
Jan 20, 2015	1293.94	1276.15	1297.23	1273.7	1.32%
Jan 19, 2015	1277.08	1279.3	1281.63	1271.85	-0.25%
Jan 16, 2015	1280.3	1261.56	1281.99	1254.88	1.48%
Jan 15, 2015	1261.64	1229.46	1266.59	1225.7	2.58%
Jan 14, 2015	1229.95	1230.36	1244.4	1224.55	-0.08%
Jan 13, 2015	1230.88	1233.1	1244.12	1227.01	-0.22%
Jan 12, 2015	1233.64	1222.62	1236.29	1218.17	0.84%
Jan 09, 2015	1223.4	1208.9	1224	1206.7	1.19%
Jan 08, 2015	1208.98	1210.16	1216.65	1204.32	-0.15%
Jan 07, 2015	1210.8	1218.8	1219.85	1208.45	-0.69%
Jan 06, 2015	1219.2	1204.1	1223.15	1201.1	1.22%
Jan 05, 2015	1204.45	1188.59	1208.15	1182.7	1.28%
Jan 02, 2015	1189.18	1182.2	1194.6	1168.25	0.61%
Jan 01, 2015	1181.97	1183.4	1184.53	1181.6	-0.17%
Dec 31, 2014	1183.95	1199.86	1204	1179.15	-1.36%
Dec 30, 2014	1200.24	1182.98	1210.29	1180.5	1.45%
Dec 29, 2014	1183.1	1195.33	1197.79	1178.96	-1.03%
Dec 26, 2014	1195.4	1172.7	1199.75	1172.7	1.84%
Dec 24, 2014	1173.8	1175.2	1181.8	1172.55	-0.16%
Dec 23, 2014	1175.68	1174.55	1185.49	1172.1	0.05%
Dec 22, 2014	1175.05	1194.94	1202.18	1170.17	-1.75%
Dec 19, 2014	1195.95	1197.95	1202.1	1193.3	-0.20%
Dec 18, 2014	1198.4	1187.95	1213.55	1187.9	0.82%
Dec 17, 2014	1188.7	1196.19	1203.4	1183.73	-0.66%
Dec 16, 2014	1196.6	1192.2	1221.79	1188.41	0.34%
